description,"Carbohydrate, by difference",Energy (kcal),Protein,Total lipid (fat)
"Crackers, matzo",298.93,1410.71,35.71,5.0
"Crackers, milk",717.3,4460.0,76.0,137.7
"Crackers, oyster",7405.0,41800.0,946.0,864.0
"Chips, rice",8150.0,38400.0,820.0,280.0
Rice cake,2703.33,13066.67,236.67,143.33
"Crackers, rice",2754.67,13866.67,333.33,166.67
"Crackers, rice and nuts",2580.33,14333.33,359.33,295.0
Popcorn cake,801.0,3840.0,97.0,31.0
Rice paper,1445.2,6460.0,118.2,22.2
"Crackers, saltine",2468.33,13933.33,315.33,288.0
"Crackers, saltine, reduced fat",2743.33,13100.0,350.0,53.33
"Crackers, saltine, multigrain",2275.0,13266.67,238.0,357.0
"Crackers, multigrain",2253.33,16066.67,236.67,680.0
"Crackers, sandwich",834.0,7057.14,163.86,350.57
"Crackers, sandwich, peanut butter filled",834.0,7057.14,163.86,350.57
"Crackers, sandwich, peanut butter filled (Ritz)",816.29,6885.71,107.14,357.14
"Crackers, sandwich, reduced fat, peanut butter filled",907.0,6242.86,119.0,238.14
"Crackers, whole grain, sandwich, peanut butter filled",1091.8,9300.0,282.4,423.6
"Crackers, sandwich, cheese filled",881.43,6814.29,132.86,301.43
"Crackers, sandwich, cheese filled (Ritz)",800.71,6842.86,109.43,358.43
"Crackers, water",2427.0,12800.0,238.0,238.0
"Crackers, wonton",1730.0,17366.67,344.33,1057.33
"Crackers, woven wheat",1402.8,8820.0,178.8,305.2
"Crackers, woven wheat, plain (Triscuit)",1402.8,8820.0,178.8,305.2
"Crackers, woven wheat, flavored (Triscuit)",1402.8,8820.0,178.8,305.2
"Crackers, woven wheat, reduced fat",1510.4,8320.0,226.8,151.8
"Crackers, wheat",2338.0,14700.0,298.0,508.67
"Crackers, wheat, plain (Wheat Thins)",2338.0,14700.0,298.0,508.67
"Crackers, wheat, flavored (Wheat Thins)",2338.0,14700.0,298.0,508.67
"Crackers, wheat, reduced fat",2384.0,14800.0,311.33,445.67
"Crackers, gluten free, plain",2210.0,15100.0,375.0,528.0
"Crackers, gluten free, flavored",2210.0,15100.0,375.0,528.0
Baby Toddler crackers,8321.0,39100.0,1250.0,87.0
"Baby Toddler puffs, fruit",85790.0,344000.0,6190.0,2300.0
"Baby Toddler puffs, vegetable",85790.0,344000.0,6190.0,2300.0
Baby Toddler crunchies,13828.0,92400.0,640.0,3848.0
Baby Toddler wheels,3944.5,20650.0,500.0,320.5
Corn nuts,3593.0,22300.0,425.0,782.0
"Corn chips, plain",5682.0,53500.0,612.0,3310.0
"Corn chips, flavored",5670.0,54300.0,611.0,3402.0
"Corn chips, plain (Fritos)",5727.0,53900.0,617.0,3336.0
"Corn chips, flavored (Fritos)",5698.0,53600.0,614.0,3319.0
Cheese flavored corn snacks,2676.5,28000.0,292.5,1800.5
"Cheese flavored corn snacks, reduced fat",3617.5,21600.0,425.0,605.0
"Tortilla chips, plain",2259.33,15733.33,236.67,689.33
Cheese flavored corn snacks (Cheetos),2676.5,28000.0,292.5,1800.5
"Tortilla chips, flavored",2027.0,17300.0,245.33,914.0
"Corn chips, reduced sodium",5675.0,54900.0,684.0,3363.0
"Tortilla chips, nacho cheese flavor (Doritos)",2027.0,17300.0,245.33,914.0
"Tortilla chips, cool ranch flavor (Doritos)",2248.0,15666.67,235.33,686.0
"Tortilla chips, other flavors (Doritos)",2027.0,17300.0,245.33,914.0
"Tortilla chips, reduced fat, plain",3953.5,20550.0,543.0,281.5
"Tortilla chips, reduced fat, flavored",3953.5,20550.0,543.0,281.5
"Tortilla chips, low fat, unsalted",4005.0,20800.0,550.0,285.0
"Tortilla chips, reduced sodium",3404.0,24450.0,467.5,992.0
Snack mix,104.6,836.67,11.67,42.68
"Potato chips, restructured, multigrain",3267.0,25250.0,265.0,1237.0
Pita chips,2275.33,15233.33,393.0,506.67
"Popcorn, NFS",65.87,632.94,10.22,36.55
"Popcorn, movie theater, with added butter",37.68,780.95,5.9,69.98
"Popcorn, movie theater, no butter added",60.41,913.64,9.36,73.79
"Popcorn, air-popped, no butter added",968.38,4812.5,161.12,56.5
"Popcorn, air-popped, with added butter",597.73,3909.09,100.18,139.0
"Popcorn, popped in oil, no butter added",526.09,4527.27,81.45,254.45
"Popcorn, popped in oil, with added butter",350.93,3750.0,54.93,251.36
"Popcorn, microwave, NFS",65.87,632.94,10.22,36.55
"Popcorn, microwave, plain",65.87,632.94,10.22,36.55
"Popcorn, microwave, plain, light",84.12,495.29,14.72,11.09
"Popcorn, microwave, low sodium",67.81,583.53,10.51,32.8
"Popcorn, microwave, butter flavored",65.87,632.94,10.22,36.55
"Popcorn, microwave, flavored, light",84.12,495.29,14.72,11.09
"Popcorn, microwave, cheese flavored",65.61,630.59,10.18,36.41
"Popcorn, microwave, kettle",68.54,607.06,11.62,31.84
"Popcorn, ready-to-eat, NFS",381.29,3785.71,63.43,232.36
"Popcorn, ready-to-eat, plain",556.73,4381.82,92.64,211.45
"Popcorn, ready-to-eat, plain, light",851.0,5462.5,141.62,186.5
"Popcorn, ready-to-eat, low sodium",561.18,4418.18,93.36,213.09
"Popcorn, ready-to-eat, butter flavored",381.29,3785.71,63.43,232.36
"Popcorn, ready-to-eat, cheese flavored",368.57,3757.14,66.43,237.14
"Popcorn, ready-to-eat, flavored, light",847.25,5437.5,141.0,185.62
"Popcorn, ready-to-eat, kettle",435.79,3792.86,39.14,215.86
"Popcorn, caramel coated",224.2,1222.86,10.77,36.29
"Popcorn, caramel coated, with nuts",190.62,945.24,15.12,18.43
"Popcorn, chocolate coated",218.2,1162.86,15.26,36.54
"Popcorn chips, plain",7418.0,43800.0,1019.0,1119.0
"Popcorn chips, other flavors",7418.0,43800.0,1019.0,1119.0
"Popcorn chips, sweet flavors",7459.0,45500.0,875.0,1351.0
Onion flavored rings,3255.0,24950.0,385.0,1130.0
Shrimp chips,984.83,7100.0,119.0,297.67
"Pretzels, NFS",2679.67,12800.0,334.67,97.67
"Pretzels, hard, NFS",5359.33,25600.0,669.33,195.33
"Pretzels, hard, plain, salted",5359.33,25600.0,669.33,195.33
"Pretzels, hard, plain, lightly salted",5320.0,25466.67,638.0,214.67
"Pretzels, hard, plain, unsalted",5280.0,25400.0,606.67,233.33
"Pretzels, hard, flavored",5296.0,25866.67,661.33,258.67
"Pretzels, hard, multigrain",5338.67,25400.0,676.67,197.33
"Pretzels, hard, plain, gluten free",7862.0,38900.0,352.0,667.0
"Pretzels, hard, flavored, gluten free",7769.0,39300.0,348.0,758.0
"Pretzel chips, hard, plain",2904.81,13888.89,362.96,105.93
"Pretzel chips, hard, flavored",2871.11,13703.7,358.52,104.44
"Pretzel chips, hard, gluten free",2840.74,14074.07,127.04,241.11
"Pretzels, hard, coated, NFS",1751.75,11675.0,176.25,441.0
"Pretzels, hard, chocolate coated",1751.75,11675.0,176.25,441.0
"Pretzels, hard, white chocolate coated",1867.5,11125.0,148.5,354.75
"Pretzels, hard, yogurt coated",1914.0,10950.0,148.5,304.25
"Pretzels, hard, coated, gluten free",1876.5,11275.0,94.0,389.25
"Pretzels, hard, filled, NFS",2216.67,15433.33,328.33,564.0
"Pretzels, hard, cheese filled",2216.67,15433.33,328.33,564.0
"Pretzels, hard, peanut butter filled",2026.0,15566.67,471.33,630.33
"Pretzels, soft, NFS",495.57,2464.29,57.21,28.57
"Pretzels, soft, ready-to-eat, NFS",495.57,2464.29,57.21,28.57
"Pretzels, soft, ready-to-eat, salted, buttered",495.57,2464.29,57.21,28.57
"Pretzels, soft, ready-to-eat, unsalted, buttered",502.43,2500.0,58.0,28.93
"Pretzels, soft, ready-to-eat, salted, no butter",500.43,2428.57,57.79,21.86
"Pretzels, soft, ready-to-eat, unsalted, no butter",507.43,2464.29,58.57,22.14
"Pretzels, soft, ready-to-eat, cinnamon sugar coated",528.5,2671.43,44.43,43.86
"Pretzels, soft, ready-to-eat, coated or flavored",471.57,2607.14,56.36,55.36
"Pretzels, soft, ready-to-eat, topped with meat",381.14,2492.86,82.0,70.93
"Pretzels, soft, ready-to-eat, topped with cheese",445.36,2421.43,73.0,38.29
"Pretzels, soft, from frozen, NFS",97.72,485.92,11.28,5.63
"Pretzels, soft, from frozen, salted",98.68,478.87,11.39,4.31
"Pretzels, soft, from frozen, unsalted",100.06,485.92,11.55,4.37
"Pretzels, soft, from frozen, cinnamon sugar coated",104.21,526.76,8.76,8.65
"Pretzels, soft, from frozen, coated or flavored",92.99,514.08,11.11,10.92
"Pretzels, soft, from frozen, topped with meat",75.15,491.55,16.17,13.99
"Pretzels, soft, from frozen, topped with cheese",87.82,477.46,14.39,7.55
"Pretzels, soft, filled with cheese",62.98,342.42,10.32,5.41
"Pretzels, soft, from school lunch",99.62,477.46,12.04,4.45
"Pretzels, soft, multigrain",113.32,543.55,13.69,5.05
"Pretzels, soft, gluten free",60.28,312.63,4.24,6.04
"Pretzels, soft, gluten free, cinnamon sugar coated",67.11,356.84,3.26,8.57
"Pretzels, soft, gluten free, coated or flavored",57.0,343.16,4.32,10.92
Multigrain chips (Sun Chips),3363.0,24550.0,397.5,1055.5
"Snack mix, plain (Chex Mix)",126.15,713.33,14.72,16.67
Bagel chips,1327.2,9020.0,246.8,302.8
Cracker chips,2242.0,16366.67,265.0,703.67
"Pancakes, NFS",353.2,2820.0,74.1,120.7
"Pancakes, plain, frozen",377.5,2330.0,52.3,68.3
"Pancakes, fruit, frozen",364.7,2240.0,49.9,65.2
"Pancakes, chocolate, frozen",388.3,2480.0,53.5,79.7
"Pancakes, whole grain, frozen",385.5,2320.0,55.4,67.5
"Pancakes, plain, fast food / restaurant",341.4,3070.0,71.6,154.8
"Pancakes, fruit, fast food / restaurant",298.2,2530.0,57.1,122.8
"Pancakes, chocolate, fast food / restaurant",400.2,3600.0,74.6,186.8
"Pancakes, whole grain, fast food / restaurant",317.6,2990.0,75.9,158.0
"Pancakes, school",404.3,2310.0,62.6,65.7
"Pancakes, plain",353.2,2820.0,74.1,120.7
"Pancakes, plain, reduced fat",361.0,2640.0,75.7,97.4
"Pancakes, fruit",306.3,2320.0,58.6,95.4
"Pancakes, pumpkin",309.5,2410.0,63.7,100.8
"Pancakes, chocolate",411.8,3410.0,76.8,159.4
"Pancakes, whole grain",329.0,2730.0,78.6,122.9
"Pancakes, whole grain, reduced fat",336.5,2560.0,80.4,98.9
"Pancakes, gluten free",403.2,2150.0,33.1,45.5
"Waffle, NFS",483.9,3090.0,74.2,94.9
"Waffle, plain, frozen",483.9,3090.0,74.2,94.9
"Waffle, plain, reduced fat",467.5,2920.0,97.2,73.5
"Waffle, fruit, frozen",465.8,2960.0,70.7,90.5
"Waffle, chocolate, frozen",489.4,3200.0,74.3,105.0
"Waffle, whole grain, frozen",467.0,2890.0,67.8,83.9
"Waffle, whole grain, reduced fat",491.6,2570.0,71.4,35.7
"Waffle, whole grain, fruit, frozen",450.6,2780.0,64.8,80.2
"Waffle, plain, fast food / restaurant",389.2,4280.0,81.6,263.6
"Waffle, chocolate, fast food / restaurant",461.0,4800.0,85.9,288.6
"Waffle, fruit, fast food / restaurant",344.7,3540.0,66.0,210.9
"Waffle, whole grain, fast food / restaurant",361.5,4210.0,86.4,269.4
"Waffle, school",122.9,642.5,17.85,8.93
"Waffle, plain",415.0,3730.0,87.0,188.2
"Waffle, fruit",362.5,3070.0,69.4,149.2
"Waffle, chocolate",486.4,4370.0,90.7,227.0
"Waffle, cinnamon",416.7,3730.0,87.0,187.8
"Waffle, whole grain",386.1,3640.0,92.3,192.1
"Waffle, gluten free",430.5,2630.0,27.2,88.4
"French toast, NFS",49.75,420.0,15.94,17.51
"French toast, frozen",298.9,1830.0,72.4,38.2
"French toast, fast food / restaurant",42.01,364.71,11.58,16.82
"French toast, school",226.5,1620.0,91.5,38.0
"French toast, plain",49.75,420.0,15.94,17.51
"French toast, whole grain",46.83,416.92,17.45,17.8
"French toast, gluten free",47.11,406.15,11.98,18.78
French toast sticks,90.27,617.78,16.71,20.4
"French toast sticks, fast food / restaurant",193.92,1600.0,28.24,83.48
"French toast sticks, school",90.6,648.0,36.6,15.2
"Crepe, NFS",27.52,280.0,11.06,14.11
"Crepe, plain",33.88,344.62,13.62,17.37
Chinese pancake,162.07,739.29,14.46,1.36
"Dumpling, no meat",81.96,500.0,13.8,13.48
Cake made with glutinous rice,188.96,984.13,8.78,22.96
Idli,65.74,336.84,16.74,0.92
"Dosa, plain",105.83,600.0,16.29,11.57
Cake made with glutinous rice and dried beans,232.94,1181.25,51.62,3.12
Funnel cake with sugar,48.32,392.22,8.74,18.41
Funnel cake with sugar and fruit,40.87,281.48,4.33,11.63
"Pasta, vegetable, cooked",18.96,91.43,3.23,0.08
"Noodles, cooked",15.63,85.62,2.82,1.29
"Noodles, whole grain, cooked",18.69,92.5,3.72,1.06
"Noodles, vegetable, cooked",15.06,81.88,3.13,0.98
"Noodles, chow mein",92.68,930.36,18.45,56.64
"Long rice noodles, made from mung beans, cooked",10.87,44.21,0.02,0.01
"Rice noodles, cooked",13.64,61.14,1.02,0.11
"Pasta, cooked",21.91,112.14,4.11,0.66
"Pasta, whole grain, cooked",21.35,105.71,4.25,1.21
"Pasta, gluten free",27.18,127.86,2.29,0.71
"Cereal, cooked, NFS",4.73,26.67,0.92,0.45
Barley,16.02,81.76,1.29,1.61
Buckwheat groats,11.17,65.88,1.89,1.96
"Grits, NFS",5.08,29.58,0.5,0.77
"Grits, regular or quick, made with water, NS as to fat",5.08,29.58,0.5,0.77
"Grits, regular or quick, made with water, no added fat",5.17,24.17,0.5,0.12
"Grits, regular or quick, made with water, fat added",5.08,29.58,0.5,0.77
"Grits, with cheese, NS as to fat",4.73,45.0,1.48,2.2
"Grits, with cheese, no added fat",4.81,40.42,1.5,1.63
"Grits, with cheese, fat added",4.73,45.0,1.48,2.2
"Grits, instant, made with water, no added fat",6.18,27.08,0.57,0.17
"Grits, instant, made with water, fat added",5.98,35.42,0.57,1.19
"Grits, instant, made with water, NS as to fat",5.98,35.42,0.57,1.19
"Cornmeal mush, NS as to fat",5.1,29.58,0.46,0.77
"Cornmeal mush, no added fat",5.2,24.17,0.47,0.12
"Cornmeal mush, fat added",5.1,29.58,0.46,0.77
"Masa harina, cooked",8.54,40.42,0.94,0.41
Millet,13.86,69.41,2.06,0.59
"Oatmeal, fast food, plain",4.96,33.33,1.08,1.06
"Oatmeal, fast food, flavored",8.48,45.83,1.0,0.97
"Oatmeal, NFS",4.65,31.67,0.91,1.1
"Oatmeal, regular or quick, made with water, no added fat",4.73,26.67,0.92,0.45
"Oatmeal, regular or quick, made with water, fat added",4.65,31.67,0.91,1.1
"Oatmeal, regular or quick, made with milk, no added fat",6.76,48.33,2.32,1.35
"Oatmeal, regular or quick, made with milk, fat added",6.65,53.33,2.28,1.98
"Oatmeal, regular or quick, made with non-dairy milk, no added fat",6.05,38.75,1.4,1.02
"Oatmeal, regular or quick, made with non-dairy milk, fat added",5.95,43.75,1.38,1.65
"Oatmeal, instant, plain, made with water, no added fat",5.48,28.33,0.94,0.54
"Oatmeal, instant, plain, made with water, fat added",5.31,36.67,0.92,1.55
"Oatmeal, instant, plain, made with milk, no added fat",7.11,46.25,2.07,1.27
"Oatmeal, instant, plain, made with milk, fat added",6.88,53.75,2.0,2.25
"Oatmeal, instant, plain, made with non-dairy milk, no added fat",6.54,38.33,1.32,1.0
"Oatmeal, instant, plain, made with non-dairy milk, fat added",6.33,46.25,1.29,1.99
"Oatmeal, instant, maple flavored, no added fat",8.43,42.5,1.02,0.52
"Oatmeal, instant, maple flavored, fat added",8.18,49.58,0.99,1.44
"Oatmeal, instant, fruit flavored, no added fat",8.37,41.67,0.98,0.5
"Oatmeal, instant, fruit flavored, fat added",8.13,48.75,0.95,1.42
"Oatmeal, reduced sugar",6.92,35.42,0.98,0.53
"Oatmeal, multigrain",5.08,23.33,0.88,0.19
"Quinoa, NS as to fat",11.89,82.35,2.46,2.79
"Quinoa, no added fat",12.48,70.59,2.58,1.12
"Quinoa, fat added",11.89,82.35,2.46,2.79
"Rice, cooked, NFS",17.72,81.65,1.69,0.18
"Rice, white, cooked, NS as to fat",17.17,79.14,1.64,0.17
"Rice, white, cooked, made with oil",16.68,92.64,1.6,1.91
"Rice, white, cooked, made with butter",16.69,90.18,1.61,1.6
"Rice, white, cooked, made with margarine",16.7,87.12,1.6,1.3
"Rice, white, cooked, fat added, NS as to fat type",16.69,90.8,1.6,1.7
"Rice, white, cooked, no added fat",17.72,81.65,1.69,0.18
"Rice, brown, cooked, NS as to fat",12.98,62.24,1.39,0.49
"Rice, brown, cooked, fat added, made with oil",12.68,71.43,1.36,1.67
"Rice, brown, cooked, made with butter",12.68,69.9,1.37,1.45
"Rice, brown, cooked, made with margarine",12.69,67.86,1.36,1.26
"Rice, brown, cooked, fat added, NS as to fat type",12.68,70.41,1.36,1.52
"Rice, brown, cooked, no added fat",13.05,62.56,1.4,0.49
Cream of rice,6.37,28.75,0.49,0.04
"Rice, cooked, with milk",12.5,72.0,2.56,1.16
"Rice, sweet, cooked with honey",17.78,79.43,1.44,0.15
Congee,2.88,13.25,0.27,0.03
"Yellow rice, cooked, NS as to fat",12.09,55.7,1.14,0.28
"Yellow rice, cooked, no added fat",12.09,55.7,1.14,0.28
"Yellow rice, cooked, fat added",11.47,63.19,1.08,1.49
"Rice, white, cooked, glutinous",12.05,55.17,1.16,0.11
"Rice, wild, 100%, cooked, NS as to fat",12.58,74.39,2.35,1.88
"Rice, wild, 100%, cooked, no added fat",12.93,60.98,2.42,0.21
"Rice, wild, 100%, cooked, fat added",12.58,74.39,2.35,1.88
"Rice, white and wild, cooked, no added fat",10.37,47.59,1.1,0.1
"Rice, brown and wild, cooked, no added fat",16.49,79.47,1.91,0.58
"Rice, white and wild, cooked, fat added",12.27,66.67,1.29,1.27
"Rice, white and wild, cooked, NS as to fat",12.27,66.67,1.29,1.27
"Rice, brown and wild, cooked, fat added",15.68,89.03,1.82,2.09
"Rice, brown and wild, cooked, NS as to fat",13.21,74.67,1.51,1.79
"Rice, white, cooked with fat, Puerto Rican style",20.58,129.03,1.83,4.06
"Cream of wheat, NFS",4.33,27.08,0.6,0.75
"Cream of wheat, regular or quick, made with water, no added fat",4.4,21.25,0.6,0.09
"Cream of wheat, regular or quick, made with water, fat added",4.33,27.08,0.6,0.75
"Cream of wheat, instant, made with water, no added fat",6.01,27.92,0.63,0.09
"Cream of wheat, instant, made with water, fat added",5.86,34.17,0.62,0.87
"Bulgur, no added fat",13.2,59.29,2.19,0.17
"Bulgur, fat added",12.37,80.0,2.05,2.98
"Bulgur, NS as to fat",13.2,59.29,2.19,0.17
"Couscous, plain, cooked",14.44,69.38,2.36,0.1
"Whole wheat cereal, cooked",4.33,19.58,0.65,0.12
"Wheat cereal, chocolate flavored, cooked",4.57,20.42,0.75,0.2
"Oat bran cereal, cooked",5.12,19.17,1.34,0.54
"Cereal, ready-to-eat, NFS",222.03,1082.86,22.11,11.46
"Cereal, O's, flavored",189.97,962.5,21.55,13.42
"Cereal, crunch",234.51,1137.14,12.31,15.8
"Cereal, O's, plain",226.4,1246.67,41.4,20.57
"Cereal, chocolate puffs",231.49,1108.57,15.4,14.23
"Cereal, cinnamon toast",188.08,1035.0,14.7,24.8
"Cereal, chocolate crispy",204.62,950.0,13.38,10.6
"Cereal, corn squares",257.13,1230.0,26.27,8.7
"Cereal, corn flakes, plain",265.07,1216.67,21.33,5.33
"Cereal, corn puffs",311.28,1484.0,30.96,10.28
"Cereal, rice crispy, plain",319.24,1432.0,27.84,4.84
"Cereal, bran flakes, plain",150.06,722.0,19.3,4.84
"Cereal, shredded wheat, flavored",157.84,734.0,19.04,2.82
"Cereal, rice crispy, flavored",215.02,930.0,12.38,2.3
"Cereal, fruit rings",274.13,1276.67,17.13,10.77
"Cereal, fruit crispy",236.86,1097.14,12.23,11.11
"Cereal, granola",61.23,381.82,8.93,11.83
"Cereal, oat bunches",169.44,871.11,16.51,13.47
"Cereal, corn squares, flavored",203.4,952.5,13.4,8.1
"Cereal, O's, honey nut",189.97,962.5,21.55,13.42
"Cereal, multigrain",147.92,746.0,23.28,7.18
"Cereal, oat squares",162.51,840.0,23.07,11.58
"Cereal, frosted oats with marshmallows",218.89,1062.86,23.34,11.63
"Cereal, O's, multigrain",254.13,1243.33,28.47,12.53
"Cereal, bran flakes, flavored",131.23,588.33,13.55,1.97
"Cereal, rice squares",258.1,1190.0,23.37,7.3
"Cereal, K's, plain",194.31,1017.14,54.4,4.51
"Cereal, K's, flavored",231.26,1037.14,20.94,3.29
"Cereal, flavored puffs",279.37,1266.67,18.87,7.2
"Cereal, corn flakes, flavored",211.7,937.5,11.92,3.18
"Cereal, O's, NFS",205.6,1082.86,30.06,16.49
"Cereal, wheat squares",125.07,593.33,17.47,2.53
Wheat germ,41.33,318.33,24.25,8.92
"Cereal, plain puffs",514.67,2380.0,63.33,11.07
"Cereal, shredded wheat, plain",164.11,795.56,26.4,3.73
"Cereal, wheat flakes",190.68,897.5,25.15,3.68
"Cereal, other, NFS",224.17,1088.57,19.66,12.69
"Cereal, other, plain",245.73,1233.33,31.37,12.97
"Cereal, other, fruit flavored",206.42,957.5,11.78,8.9
"Cereal, other, chocolate",203.6,960.0,13.42,11.53
"Cereal, other, peanut butter",182.62,1055.0,18.35,27.75
"Cereal, other, honey",190.3,970.0,20.05,14.28
"Cereal, reduced sugar",219.69,1074.29,24.06,10.49
Wheat bran,107.52,360.0,25.92,7.08
"Oats, raw",84.62,473.75,16.44,8.15
"Cereal, oat bran, ready-to-eat",85.42,503.75,13.0,12.69
"Baby Toddler cereal, barley, dry",1826.32,9894.74,347.37,173.68
"Baby Toddler cereal, oatmeal, dry",1933.68,10368.42,289.21,167.37
"Baby Toddler cereal, rice, dry",2187.89,10263.16,175.0,57.63
"Baby Toddler cereal, rice with fruit, dry",2194.74,10210.53,171.32,57.11
"Baby Toddler cereal, multigrain with fruit, dry",2117.63,10631.58,171.84,169.21
"Baby Toddler cereal, multigrain, dry",2106.84,10710.53,175.53,175.53
"Baby Toddler cereal, oatmeal with fruit, dry",1953.16,10315.79,280.0,161.32
"Baby Toddler cereal, NFS",122.67,593.33,12.8,6.4
"Baby Toddler cereal, rice, ready-to-eat",107.27,486.67,9.2,2.0
"Baby Toddler cereal, oatmeal, ready-to-eat",91.8,506.67,16.93,8.67
"Baby Toddler cereal, multigrain, ready-to-eat",100.0,500.0,12.47,5.93
"Baby Toddler cereal, multigrain with fruit, ready-to-eat",128.27,586.67,9.73,4.53
"Baby Toddler cereal, oatmeal with fruit, ready-to-eat",122.67,593.33,12.8,6.4
"Baby Toddler cereal, rice with fruit, ready-to-eat",133.2,580.0,7.47,1.8
Chilaquiles,8.73,115.88,6.35,6.36
Frito pie,18.16,219.33,5.97,14.09
Mexican pizza,15.29,249.0,15.5,13.97
Taco or tostada salad with meat,6.92,75.11,3.16,3.94
Taco or tostada salad with chicken,6.75,69.17,3.28,3.35
"Taco or tostada salad, meatless",8.21,69.23,2.27,3.15
Taco or tostada salad with meat and sour cream,5.66,68.56,2.6,4.01
Taco or tostada salad with chicken and sour cream,5.41,62.27,2.63,3.46
"Taco or tostada salad, meatless with sour cream",6.53,62.78,1.86,3.34
"Taco, NFS",31.24,492.0,30.66,27.16
"Taco, corn tortilla, beef, cheese",30.58,498.0,31.0,27.94
"Taco, corn tortilla, beef, with beans, cheese",38.26,426.0,21.34,21.28
